文件1,文件2,相似度
sub003,sub015,0.6164
sub003,sub016,0.4476
sub003,sub017,0.4413
sub003,sub018,0.4925
sub003,sub019,0.5013
sub003,sub020,0.5918
sub003,sub021,0.5164
sub003,sub022,0.5686
sub003,sub023,0.6836
sub003,sub024,0.4767
sub003,sub025,0.5762
sub003,sub026,0.4997
sub003,sub027,0.4900
sub003,sub028,0.5936
sub003,sub029,0.4458
sub003,sub031,0.6127
sub003,sub032,0.5558
sub003,sub033,0.6886
sub003,sub034,0.6513
sub003,sub035,0.5382
sub003,sub036,0.5458
sub003,sub037,0.5549
sub003,sub038,0.5009
sub003,sub039,0.6564
sub003,sub040,0.7045
sub003,sub041,0.6164
sub003,sub042,0.6115
sub003,sub043,0.4880
sub003,sub044,0.7452
sub003,sub045,0.7102
sub003,sub048,0.6013
sub003,sub049,0.6887
sub003,sub050,0.6458
sub003,sub051,0.4778
sub003,sub052,0.6346
sub003,sub053,0.5104
sub003,sub054,0.6575
sub003,sub055,0.5986
sub003,sub056,0.7016
sub003,sub057,0.7089
sub003,sub058,0.4398
sub003,sub059,0.4150
sub003,sub060,0.5329
sub003,sub061,0.7029
sub003,sub062,0.7564
sub003,sub063,0.5010
sub003,sub064,0.4833
sub003,sub065,0.7357
sub003,sub066,0.5170
sub003,sub067,0.7896
sub003,sub068,0.7649
sub003,sub069,0.8274
sub003,sub070,0.5982
sub003,sub071,0.5593
sub003,sub072,0.7468
sub003,sub073,0.6214
sub003,sub074,0.6474
sub003,sub075,0.5347
sub003,sub076,0.3894
sub003,sub077,0.3207
sub003,sub078,0.5412
sub003,sub079,0.6336
sub003,sub080,0.6411
sub003,sub081,0.6116
sub003,sub082,0.6234
sub003,sub083,0.7963
sub003,sub084,0.6039
sub003,sub085,0.6434
sub003,sub086,0.5931
sub003,sub087,0.6709
sub003,sub088,0.5896
sub003,sub089,0.4568
sub003,sub090,0.5900
sub003,sub091,0.6991
sub003,sub092,0.4738
sub003,sub093,0.4500
sub003,sub094,0.6995
sub003,sub095,0.3992
sub003,sub096,0.7649
sub003,sub097,0.5587
sub003,sub098,0.7378
sub003,sub099,0.7437
sub003,sub100,0.6471
sub003,sub101,0.4166
sub003,sub102,0.6335
sub003,sub103,0.5012
sub003,sub104,0.6613
sub003,sub105,0.4013
